"","Models","Intercept","Intercept.SE","CollLoc_Distance.m","CollLoc_Distance.m.SE","RunTimingGroupLate","RunTimingGroupLate.SE","RunTimingGroupMiddle","RunTimingGroupMiddle.SE","Collection_Year2020","Collection_Year2020.SE","Collection_Year2021","Collection_Year2021.SE","SexM","SexM.SE","RunTimingGroupLate.SexM","RunTimingGroupLate.SexM.SE","RunTimingGroupMiddle.SexM","RunTimingGroupMiddle.SexM.SE","Collection_Year2020.SexM","Collection_Year2020.SexM.SE","Collection_Year2021.SexM","Collection_Year2021.SexM.SE","N.Obs","k","EDF","RMSE","SSE","logLik","X.2logLik","mul.r.squared","AIC","AIC.c","deltaAIC.c","lik.dAIC.c","AIC.c.W"
"1","Mod2.PC1~1",0.00123046731843573,0.124532026730957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,2,177,1.66612496440928,494.123086670955,-344.868193946971,689.736387893942,0,693.736387893942,693.804569712124,32.986010989142,6.87351245102693e-08,3.8043162471533e-08
"2","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup",0.78350199783778,0.351376527851847,-2.43505264895333e-06,3.43949558989489e-06,-0.925944680588307,0.314643439423128,-0.755778247683332,0.296141851149756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,5,174,1.62203572096059,460.424979012624,-338.546386591604,677.092773183208,0.0681978004415141,687.092773183208,687.439593992457,26.621035269475,1.65697379439159e-06,9.17093316120984e-07
"3","Mod2.PC1~CollLoc_Distance.m + Collection_Year",0.905962223131569,0.684392501490245,-7.10595085917893e-06,5.04213698316237e-06,NA,NA,NA,NA,-0.543300786868151,0.367031030706947,-0.217017778459818,0.466145291191192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,5,174,1.65637115673561,480.12394655149,-342.295932004172,684.591864008344,0.0283312812072413,694.591864008344,694.938684817593,34.1201260946109,3.89860071078116e-08,2.15777742905991e-08
"4","Mod2.PC1~CollLoc_Distance.m + Sex",-0.167721953247464,0.324966801403939,-4.92812585087978e-06,3.04633863023645e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.22302296618797,0.231204444631153,NA,NA,NA,NA,NA,NA,NA,NA,179,4,175,1.54643391586165,420.896582678386,-330.512618342099,661.025236684198,0.148194864736875,669.025236684198,669.255121741669,8.43656301868714,0.0147239257046767,0.00814932251585737
"5","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex",0.149680374597521,0.344945649476324,-2.24479341140768e-06,3.18326257846383e-06,-0.963062912404987,0.291264203641757,-0.755778247683332,0.274063952709682,NA,NA,NA,NA,1.23642706964138,0.224505368864804,NA,NA,NA,NA,NA,NA,NA,NA,179,6,173,1.50111009098122,392.079681912743,-324.165093314979,648.330186629958,0.206514140931376,660.330186629958,660.818558722982,0,1,0.553474846267998
"6","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year",0.624405449651112,0.763128785307453,-4.06250082961245e-07,5.99849020225489e-06,-0.991110993966665,0.346415785599101,-0.755778247683332,0.29542437458648,-0.276352303724218,0.383622208589211,0.254337994725782,0.515148876246791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,7,172,1.61810593997871,452.960162108029,-337.083441863719,674.166883727437,0.0833050016752961,688.166883727437,688.821854487671,28.0032957646895,8.30159586003169e-07,4.59472449241009e-07
"7","Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex",0.33851732507067,0.64539105090689,-7.45837352770617e-06,4.68990971945267e-06,NA,NA,NA,NA,-0.568095395606718,0.341389196413153,-0.262241918837975,0.433621961895459,1.22577189837544,0.230362848990644,NA,NA,NA,NA,NA,NA,NA,NA,179,6,173,1.54050882404862,412.931134033067,-328.802602407932,657.605204815863,0.164315238101707,669.605204815863,670.093576908886,9.27501818590463,0.00968178404067684,0.00535862393351357
"8","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex",0.0196243470655513,0.379950816617459,-2.27476900295667e-06,3.19517644221053e-06,-0.727299433773333,0.408151671840737,-0.586243232,0.388988831490214,NA,NA,NA,NA,1.50145727416666,0.388988831490214,-0.459830905388926,0.552850209608642,-0.339070031366665,0.550113281105123,NA,NA,NA,NA,179,8,171,1.50654726622228,390.385762442236,-323.777584753312,647.555169506624,0.209942273548938,663.555169506624,664.402228330154,3.58366960717194,0.166654111413274,0.0922388586943918
"9","Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex",0.406573442473677,0.670269681894865,-7.44759377464366e-06,4.71363205730215e-06,NA,NA,NA,NA,-0.618036345606193,0.449002422748576,-0.421823200032702,0.521997416662817,1.0868798009,0.399688509441246,NA,NA,NA,NA,0.1013987136625,0.567762717940654,0.314815270292436,0.56540207605432,179,8,171,1.5479869407364,412.157333814758,-328.634729161506,657.269458323012,0.165881245113284,673.269458323012,674.116517146542,13.2979584235599,0.00129534370240815,0.000716940156554572
"10","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex",0.0193031222923996,0.713814489107243,-4.24009250654516e-07,5.54437045957603e-06,-1.02199534199675,0.320238922962171,-0.755778247683331,0.273059027318355,-0.287896528204182,0.354585932532363,0.232498987569122,0.47616552367076,1.23537392120351,0.223689892154644,NA,NA,NA,NA,NA,NA,NA,NA,179,8,171,1.49560588792683,384.73595918424,-322.472844264967,644.945688529935,0.221376273316202,660.945688529935,661.792747353464,0.974188630482217,0.614409082071134,0.340059972244982
