"","Models","Intercept","Intercept.SE","CollLoc_Distance.m","CollLoc_Distance.m.SE","RunTimingGroupLate","RunTimingGroupLate.SE","RunTimingGroupMiddle","RunTimingGroupMiddle.SE","Collection_Year2020","Collection_Year2020.SE","Collection_Year2021","Collection_Year2021.SE","SexM","SexM.SE","RunTimingGroupLate.SexM","RunTimingGroupLate.SexM.SE","RunTimingGroupMiddle.SexM","RunTimingGroupMiddle.SexM.SE","Collection_Year2020.SexM","Collection_Year2020.SexM.SE","Collection_Year2021.SexM","Collection_Year2021.SexM.SE","AIC.c.W","W.Intercept","W.CollLoc_Distance.m","W.RunTimingGroupLate","W.RunTimingGroupMiddle","W.Collection_Year2020","W.Collection_Year2021","W.SexM","W.RunTimingGroupLate.SexM","W.RunTimingGroupMiddle.SexM","W.Collection_Year2020.SexM","W.Collection_Year2021.SexM","W.Intercept.SE","W.CollLoc_Distance.m.SE","W.RunTimingGroupLate.SE","W.RunTimingGroupMiddle.SE","W.Collection_Year2020.SE","W.Collection_Year2021.SE","W.SexM.SE","W.RunTimingGroupLate.SexM.SE","W.RunTimingGroupMiddle.SexM.SE","W.Collection_Year2020.SexM.SE","W.Collection_Year2021.SexM.SE"
"1","Mod2.PC1~1",0.001230467,0.124532027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8043162471533e-08,4.68108559968598e-11,0,0,0,0,0,0,0,0,0,0,5.86158282333957e-09,0,0,0,0,0,0,0,0,0,0
"2","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup",0.783501998,0.351376528,-2.44e-06,3.43949558989489e-06,-0.925944681,0.314643439,-0.755778248,0.296141851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17093316120984e-07,7.18544445533237e-07,-2.2377076913352e-12,-8.49177678042877e-07,-6.93119179710427e-07,0,0,0,0,0,0,0,7.11381950547678e-07,3.23065362784262e-12,2.89243635328911e-07,2.72665824511051e-07,0,0,0,0,0,0,0
"3","Mod2.PC1~CollLoc_Distance.m + Collection_Year",0.905962223,0.684392501,-7.11e-06,5.04213698316237e-06,0,0,0,0,-0.543300787,0.367031031,-0.217017778,0.466145291,0,0,0,0,0,0,0,0,0,0,2.15777742905991e-08,1.95486483637034e-08,-1.5341797520616e-13,0,0,-1.17232217537909e-08,-4.68276063073134e-09,0,0,0,0,0,2.29475891380784e-08,1.59909466917047e-13,0,0,1.23954376244256e-08,1.18961338845195e-08,0,0,0,0,0
"4","Mod2.PC1~CollLoc_Distance.m + Sex",-0.167721953,0.324966801,-4.93e-06,3.04633863023645e-06,0,0,0,0,0,0,0,0,1.223022966,0.231204445,0,0,0,0,0,0,0,0,0.008149323,-0.00136682036918782,-4.017616239e-08,0,0,0,0,0.00996680918635202,0,0,0,0,0.00338993501559541,3.63081173642106e-08,0,0,0,0,0.00190841381945076,0,0,0,0
"5","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex",0.149680375,0.344945649,-2.24e-06,3.18326257846383e-06,-0.963062912,0.291264204,-0.755778248,0.274063953,0,0,0,0,1.23642707,0.224505369,0,0,0,0,0,0,0,0,0.553474846,0.0828443225023472,-1.23978365504e-06,-0.533031096907511,-0.41830424942195,0,0,0.684331282158481,0,0,0,0,0.193573293899321,1.78902161813873e-06,0.161432746580541,0.152389034220715,0,0,0.124955085165263,0,0,0,0
"6","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year",0.62440545,0.763128785,-4.06e-07,5.99849020225489e-06,-0.991110994,0.346415786,-0.755778248,0.295424375,-0.276352304,0.383622209,0.254337995,0.515148876,0,0,0,0,0,0,0,0,0,0,4.59472449241009e-07,2.86897101430934e-07,-1.8654581439185e-13,-4.55388195882871e-07,-3.47259282691639e-07,-1.26976269972276e-07,1.16861301497697e-07,0,0,0,0,0,4.27547806459792e-07,2.81750750403405e-12,1.60415850831201e-07,1.36279807823065e-07,1.93730700735097e-07,2.50275861602235e-07,0,0,0,0,0
"7","Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex",0.338517325,0.645391051,-7.46e-06,4.68990971945267e-06,0,0,0,0,-0.568095396,0.341389196,-0.262241919,0.433621962,1.225771898,0.230362849,0,0,0,0,0,0,0,0,0.005358624,0.0018139870621608,-3.997533504e-08,0,0,-0.0030442096232951,-0.00140525584095946,0.00656845071114835,0,0,0,0,0.00370218849750854,3.9890983530495e-08,0,0,0.00309856820375492,0.00295140428097286,0.00124816917867617,0,0,0,0
"8","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex",0.019624347,0.379950817,-2.27e-06,3.19517644221053e-06,-0.727299434,0.408151672,-0.586243232,0.388988831,0,0,0,0,1.501457274,0.388988831,-0.459830905,0.55285021,-0.339070031,0.550113281,0,0,0,0,0.092238859,0.00181012737590007,-2.0938220993e-07,-0.0670852699435058,-0.0540744068161523,0,0,0.13849270579101,-0.0424142780101374,-0.0312754327805346,0,0,0.0356756764181479,2.99721154424046e-07,0.0427838601348369,0.0382322227270192,0,0,0.0422186266170265,0.0638969671486544,0.0581443022445512,0,0
"9","Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex",0.406573442,0.670269682,-7.45e-06,4.71363205730215e-06,0,0,0,0,-0.618036346,0.449002423,-0.4218232,0.521997417,1.086879801,0.399688509,0,0,0,0,0.101398714,0.567762718,0.31481527,0.565402076,0.00071694,0.00029148876350748,-5.341203e-09,0,0,-0.00044309497790124,-0.000302421925008,0.00077922760452894,0,0,7.269679401516e-05,0.0002257036596738,0.00053084752400081,5.34226334381792e-09,0,0,0.000490738548500715,0.000517817929713604,0.000312346130273716,0,0,0.000413483275518797,0.000463880736328182
"10","Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex",0.019303122,0.713814489,-4.24e-07,5.54437045957603e-06,-1.021995342,0.320238923,-0.755778248,0.273059027,-0.287896528,0.354585933,0.232498988,0.476165524,1.235373921,0.223689892,0,0,0,0,0,0,0,0,0.340059972,0.00656421912683258,-1.44185428128e-07,-0.34753970738465,-0.257009929853089,-0.0979020852505772,0.0790635993493083,0.42010122098479,0,0,0,0,0.24399389647824,1.93310511275393e-06,0.111796028484312,0.0932890504468898,0.136243169905543,0.170302815711728,0.0765365195281429,0,0,0,0
