Models,Intercept,Intercept.SE,CollLoc_Distance.m,CollLoc_Distance.m.SE,RunTimingGroupLate,RunTimingGroupLate.SE,RunTimingGroupMiddle,RunTimingGroupMiddle.SE,Collection_Year2020,Collection_Year2020.SE,Collection_Year2021,Collection_Year2021.SE,SexM,SexM.SE,RunTimingGroupLate.SexM,RunTimingGroupLate.SexM.SE,RunTimingGroupMiddle.SexM,RunTimingGroupMiddle.SexM.SE,Collection_Year2020.SexM,Collection_Year2020.SexM.SE,Collection_Year2021.SexM,Collection_Year2021.SexM.SE,AIC.c.W
Mod2.PC1~1,0.001230467,0.124532027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8043162471533e-08
Mod2.PC1~CollLoc_Distance.m + RunTimingGroup,0.783501998,0.351376528,-2.44E-06,3.43949558989489e-06,-0.925944681,0.314643439,-0.755778248,0.296141851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17093316120984e-07
Mod2.PC1~CollLoc_Distance.m + Collection_Year,0.905962223,0.684392501,-7.11E-06,5.04213698316237e-06,NA,NA,NA,NA,-0.543300787,0.367031031,-0.217017778,0.466145291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15777742905991e-08
Mod2.PC1~CollLoc_Distance.m + Sex,-0.167721953,0.324966801,-4.93E-06,3.04633863023645e-06,NA,NA,NA,NA,NA,NA,NA,NA,1.223022966,0.231204445,NA,NA,NA,NA,NA,NA,NA,NA,0.008149323
Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex,0.149680375,0.344945649,-2.24E-06,3.18326257846383e-06,-0.963062912,0.291264204,-0.755778248,0.274063953,NA,NA,NA,NA,1.23642707,0.224505369,NA,NA,NA,NA,NA,NA,NA,NA,0.553474846
Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year,0.62440545,0.763128785,-4.06E-07,5.99849020225489e-06,-0.991110994,0.346415786,-0.755778248,0.295424375,-0.276352304,0.383622209,0.254337995,0.515148876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59472449241009e-07
Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex,0.338517325,0.645391051,-7.46E-06,4.68990971945267e-06,NA,NA,NA,NA,-0.568095396,0.341389196,-0.262241919,0.433621962,1.225771898,0.230362849,NA,NA,NA,NA,NA,NA,NA,NA,0.005358624
Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex,0.019624347,0.379950817,-2.27E-06,3.19517644221053e-06,-0.727299434,0.408151672,-0.586243232,0.388988831,NA,NA,NA,NA,1.501457274,0.388988831,-0.459830905,0.55285021,-0.339070031,0.550113281,NA,NA,NA,NA,0.092238859
Mod2.PC1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex,0.406573442,0.670269682,-7.45E-06,4.71363205730215e-06,NA,NA,NA,NA,-0.618036346,0.449002423,-0.4218232,0.521997417,1.086879801,0.399688509,NA,NA,NA,NA,0.101398714,0.567762718,0.31481527,0.565402076,0.00071694
Mod2.PC1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex,0.019303122,0.713814489,-4.24E-07,5.54437045957603e-06,-1.021995342,0.320238923,-0.755778248,0.273059027,-0.287896528,0.354585933,0.232498988,0.476165524,1.235373921,0.223689892,NA,NA,NA,NA,NA,NA,NA,NA,0.340059972
