,Paralik,s.W.ParaEst,UncondSE,UncondCI
Intercept,1,0.091958349,0.480867006,0.942499331
CollLoc_Distance.m,0.999999962,-1.68E-06,4.10E-06,8.04E-06
RunTimingGroupLate,0.985775054,-0.947657379,0.316013085,0.619385646
RunTimingGroupMiddle,0.985775054,-0.729389626,0.283910716,0.556465004
Collection_Year2020,0.346136017,-0.101389529,0.139832683,0.274072058
Collection_Year2021,0.346136017,0.077356034,0.1737723,0.340593708
SexM,0.999998564,1.260239696,0.24717916,0.484471154
RunTimingGroupLate.SexM,0.092238859,-0.042414278,0.063896967,0.125238056
RunTimingGroupMiddle.SexM,0.092238859,-0.031275433,0.058144302,0.113962832
Collection_Year2020.SexM,0.092238859,7.27E-05,0.000413483,0.000810427
Collection_Year2021.SexM,0.092238859,0.000225704,0.000463881,0.000909206
