"","Models","Intercept","Intercept.SE","CollLoc_Distance.m","CollLoc_Distance.m.SE","RunTimingGroupLate","RunTimingGroupLate.SE","RunTimingGroupMiddle","RunTimingGroupMiddle.SE","Collection_Year2020","Collection_Year2020.SE","Collection_Year2021","Collection_Year2021.SE","SexM","SexM.SE","RunTimingGroupLate.SexM","RunTimingGroupLate.SexM.SE","RunTimingGroupMiddle.SexM","RunTimingGroupMiddle.SexM.SE","Collection_Year2020.SexM","Collection_Year2020.SexM.SE","Collection_Year2021.SexM","Collection_Year2021.SexM.SE","N.Obs","k","EDF","RMSE","SSE","logLik","X.2logLik","mul.r.squared","AIC","AIC.c","deltaAIC.c","lik.dAIC.c","AIC.c.W"
"1","EnergyPDry_1~1",8.40896785189944,0.0969082753187853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,2,177,1.29654435894874,299.222854900481,-299.97535019537,599.950700390741,0,603.950700390741,604.018882208923,129.33957998845,8.20856156274681e-29,6.00579357341941e-29
"2","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup",10.4050582597586,0.200669059238758,-1.76054314823202e-05,1.96427561197565e-06,-0.974828489403605,0.179691009444171,-0.170496134433335,0.169124861682572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,5,174,0.926335017784859,150.166898905533,-238.270354296212,476.540708592425,0.498143619559151,486.540708592425,486.887529401673,12.2082271812012,0.00223366043040901,0.0016342575194944
"3","EnergyPDry_1~CollLoc_Distance.m + Collection_Year",11.7268748555472,0.384351607382595,-3.10970519054504e-05,2.83164039626654e-06,NA,NA,NA,NA,-0.183965884936646,0.206122899219866,-1.19333192852832,0.261785001374268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,5,174,0.930210245038131,151.425942495432,-239.017620414257,478.035240828515,0.49393590758368,488.035240828515,488.382061637763,13.702759417291,0.00105799496065278,0.000774081949294942
"4","EnergyPDry_1~CollLoc_Distance.m + Sex",10.4396620408527,0.211211195306728,-2.16855179753678e-05,1.9799586315327e-06,NA,NA,NA,NA,NA,NA,NA,NA,-0.0750964217934429,0.1502706334918,NA,NA,NA,NA,NA,NA,NA,NA,179,4,175,1.0051000730564,177.799803607004,-253.387878377235,506.77575675447,0.405794708876305,514.77575675447,515.005641811941,40.326339591469,1.75084064507899e-09,1.2810024526122e-09
"5","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex",10.4331280769997,0.213381462373072,-1.76138574208344e-05,1.96914854598481e-06,-0.973184648383979,0.180174418214462,-0.170496134433335,0.169534438546239,NA,NA,NA,NA,-0.0547571755273805,0.138877773909324,NA,NA,NA,NA,NA,NA,NA,NA,179,6,173,0.928578362657488,150.032852953645,-238.190426758518,476.380853517036,0.498591599884493,488.380853517036,488.869225610059,14.1899233895867,0.000829272543752727,0.000606737206733783
"6","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year",11.0435028581998,0.419583793172104,-2.32881862136817e-05,3.29809243318453e-06,-0.799991513679168,0.190466474512301,-0.170496134433335,0.162430355231001,0.127177093103811,0.210923325818554,-0.643941135000355,0.283239374146911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,7,172,0.889667695835965,136.930989359435,-230.012165730119,460.024331460238,0.542377906243234,474.024331460238,474.679302220472,0,1,0.731649939823282
"7","EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex",11.7559073790585,0.390599685670151,-3.10790206931778e-05,2.83839892056991e-06,NA,NA,NA,NA,-0.18269730350501,0.206613513811181,-1.19101809872159,0.262434072765716,-0.0627149025054845,0.139418816358529,NA,NA,NA,NA,NA,NA,NA,NA,179,6,173,0.932337474465994,151.250050935091,-238.913599634517,477.827199269035,0.494523735543545,489.827199269035,490.315571362058,15.6362691415857,0.000402371578842206,0.000294395141446499
"8","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Sex + RunTimingGroup*Sex",10.5311095400164,0.234407794674987,-1.75775169881884e-05,1.97124004123439e-06,-1.19931886196714,0.251806099907458,-0.256649424400003,0.23998372988003,NA,NA,NA,NA,-0.256682542000004,0.23998372988003,0.438088904314557,0.341076772972018,0.172306579933338,0.33938824554522,NA,NA,NA,NA,179,8,171,0.929452989186097,148.587851766399,-237.324253625603,474.648507251206,0.503420780421944,490.648507251206,491.495566074736,16.8162638542635,0.000223046134411547,0.000163191690820024
"9","EnergyPDry_1~CollLoc_Distance.m + Collection_Year + Sex + Collection_Year*Sex",11.7044024011488,0.402082890923174,-3.11473174405722e-05,2.82762424669161e-06,NA,NA,NA,NA,-0.245963694196442,0.269348587660831,-0.952408702723937,0.313136989506763,0.057907291499997,0.239766045945247,NA,NA,NA,NA,0.11692278020536,0.340590781821733,-0.475015677070632,0.339174674634238,179,8,171,0.92860990293194,148.318412513602,-237.16181299941,474.32362599882,0.504321243900533,490.32362599882,491.170684822349,16.4913826018771,0.000262386670406968,0.000191975191613689
"10","EnergyPDry_1~CollLoc_Distance.m + RunTimingGroup + Collection_Year + Sex",11.0690119635777,0.425659648233843,-2.32874375461264e-05,3.30620184307673e-06,-0.79868953209224,0.190963884004858,-0.170496134433335,0.1628297145674,0.127663759284805,0.21144558651249,-0.643020474957052,0.283945552240434,-0.0520792634771118,0.133390064591008,NA,NA,NA,NA,NA,NA,NA,NA,179,8,171,0.891855077006924,136.80974228188,-229.932881846528,459.865763693056,0.542783112849511,475.865763693056,476.712822516586,2.03352029611358,0.361765108953939,0.264685420196313
