"unique_id","site","species","fluidigm_num","tray","run_by","scored_by","tissue","lod_applied","Arena1","arena2","ascv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","ctv","de_sal","fa_mar","fl_psy","Hantavirus","hkg","hkg_r","ic_hof","ic_mul","IcD","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","Nido2_a","pa_kab","pa_min","pa_pse","pa_ther","Picorna2_virus","pisck_sal","prv","pspv","Qin","reov","Rhabdo3_virus","rlo","Salmovirus","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal"
"2019-0046-118-CC1","CC","Sockeye","CC1",4010,"KK","KK","Gill",TRUE,0,0,0,NA,0,0,NA,0,0,0,0,34.57915505,NA,4.36e-10,4.36e-10,0,0,NA,0,9.081934407,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC10","CC","Sockeye","CC10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,1347.639945,0,NA,0,0,0,0,805.1128333,NA,6.3e-40,6.3e-40,0,0,NA,0,1234641.47,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC12","CC","Sockeye","CC12",4010,"KK","KK","Gill",TRUE,0,0,0,NA,0,0,NA,0,0,0,0,16596.89982,NA,6.75e-28,6.75e-28,0,0,NA,0,66210.69114,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC14","CC","Sockeye","CC14",4010,"KK","KK","Gill",TRUE,0,0,0,NA,0,0,NA,0,0,0,0,3489.881637,NA,3.67e-33,3.67e-33,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC17","CC","Sockeye","CC17",4010,"KK","KK","Gill",TRUE,0,0,0,NA,131086.4325,0,NA,0,0,0,0,2617.135157,NA,5.7e-21,5.7e-21,0,0,NA,0,1993628.365,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC20","CC","Sockeye","CC20",4010,"KK","KK","Gill",TRUE,0,0,0,NA,0,0,NA,0,0,0,0,12425.49382,NA,1.18e-34,1.18e-34,330.5180974,0,NA,0,1345105.652,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC4","CC","Sockeye","CC4",4010,"KK","KK","Gill",TRUE,0,0,0,NA,0,0,NA,0,0,0,0,2867.114563,NA,6.75e-14,6.75e-14,0,0,NA,0,0,0,0,0,0,NA,4728.707739,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-CC8","CC","Sockeye","CC8",4010,"KK","KK","Gill",TRUE,0,0,0,NA,25418.02414,0,NA,0,0,0,0,781.7664592,NA,1.81e-45,1.81e-45,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW10","EW","Sockeye","EW10",4010,"KK","KK","Gill",TRUE,0,0,0,NA,62.93474833,0,NA,0,0,0,0,45.85971924,NA,3.35e-22,3.35e-22,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW11","EW","Sockeye","EW11",4010,"KK","KK","Gill",TRUE,0,0,0,NA,342401.8484,0,NA,0,0,0,0,127.3065065,NA,6.8e-37,6.8e-37,0,0,NA,0,20.27533306,0,0,0,0,NA,0,41.31134336,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW12","EW","Sockeye","EW12",4010,"KK","KK","Gill",TRUE,0,0,0,NA,4113.45726,0,NA,0,0,0,0,33.47081665,NA,1.58e-38,1.58e-38,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,85.435055,0,0,0,0,0,0,0
"2019-0046-118-EW15","EW","Sockeye","EW15",4010,"KK","KK","Gill",TRUE,0,0,0,NA,208372.0549,0,NA,0,0,0,0,90.3650394,NA,4.28e-47,4.28e-47,0,0,NA,0,0,0,0,0,0,NA,0,238.9944151,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW16","EW","Sockeye","EW16",4010,"KK","KK","Gill",TRUE,0,0,0,NA,61483.63047,0,NA,0,0,0,0,800.5116091,NA,1.33e-33,1.33e-33,0,0,NA,0,3068.186215,0,0,0,0,NA,0,0,0,1260.976996,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW2","EW","Sockeye","EW2",4010,"KK","KK","Gill",TRUE,0,0,0,NA,92.80886284,0,NA,0,0,0,0,96.98587554,NA,53684.7942,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
"2019-0046-118-EW21","EW","Sockeye","EW21",4010,"KK","KK","Gill",TRUE,0,0,0,NA,27782.43217,0,NA,0,0,0,0,78.25412881,NA,2.66e-07,2.66e-07,0,0,NA,0,0,0,0,0,0,NA,0,17.50033035,337.1771094,0,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0
