"","Fish_ID_Revised","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Arena1","arena2","ascv","c_b_cys","ce_sha","cov","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pisck_sal","prv","pspv","reov","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal","path_richness","sc_bodymass","totalE","PC1_scores"
"1","CC-1-2019","6/1/2019","7/10/2019",61.40097,-144.51765,"CC",1.884,44.6,45.7,4.3,4.5,12.3,16,NA,28.7,"F",0.19,75,7.7077,77,7.4459,78,7.2065,4,4.3,4.2,1.608,0.062,6.7,7.5,6.6,5.7,5,3.4,2.1,1.4,"9/25/2019",234.3,"10/2/2019",71.9,0.6931,0.3069,"10/5/2019",4,0.4171,923.5644,25.9311,7.957516389,0,0,0,0,0,0,0,0,0,34.57915505,0,0,0,9.081934407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0403818952647569,48.8541924,-2.77759191615538
"2","CC-4-2019","6/1/19","7/12/2019",61.40097,-144.51765,"CC",2.03,47.6,48.6,4.6,4.9,12.4,14.4,NA,30.1,"F",0.154,58,4.6444,73,5.4999,85,6.7225,3.5,3.7,3.6,1.802,0.082,11.5,12.2,10.3,10.5,5.4,6.3,2.3,2.4,"9/25/2019",239.1,"10/2/2019",82,0.657,0.343,"10/19/2019",4,0.4117,923.5644,27.4094,9.400128816,0,0,0,0,0,0,0,0,0,2867.114563,0,0,0,0,0,0,0,0,4728.707739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.248363919276926,55.641082,-1.5549518924476
"3","CC-8-2019","6/1/2019","9/4/2019",61.40097,-144.51765,"CC",2.314,45.5,47.4,4.9,4.9,12.5,12.1,7.4,31.4,"M",0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.208,0.014,6.5,6.3,6.3,5.5,3.6,3.2,2.1,1.9,"9/25/2019",284.8,"10/2/2019",91.8,0.6777,0.3223,"10/19/2019",4,0.4467,923.5644,25.8971,8.34745007,0,0,0,25418.02414,0,0,0,0,0,781.7664592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.339958150902245,59.9258894,-1.77968164588556
"4","CC-10-2019","6/1/2019","7/20/2019",61.40097,-144.51765,"CC",1.22,39.5,40.3,3.9,4.5,10.2,12,NA,24.4,"M",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.008,0.048,4.3,3,2.4,2.3,1.9,1.2,0.7,1,"10/2/2019",124.3,"10/7/2019",36.7,0.7047,0.2953,"10/19/2019",4,0.2753,923.5644,24.9713,7.372861706,0,0,0,1347.639945,0,0,0,0,0,805.1128333,0,0,0,1234641.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.115449779985592,30.464986,-2.14320431067481
"5","CC-12-2019","6/2/2019","7/20/2019",61.40097,-144.51765,"CC",1.552,42.4,43.4,4.3,4.6,11.4,14.4,NA,28.9,"M",0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.332,0.076,6.6,8.5,8,9.9,5.9,5.7,1.8,1.8,"10/2/2019",133.4,"10/7/2019",43.3,0.6754,0.3246,"10/19/2019",4,0.4179,923.5644,26.3229,8.54408973,0,0,0,0,0,0,0,0,0,16596.89982,0,0,0,66210.69114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0271954925953074,40.8531408,-0.981300038337716
"6","CC-14-2019","6/2/2019","7/20/2019",61.40097,-144.51765,"CC",1.542,42.2,42.7,4.1,4.4,11.1,12.5,NA,28.3,"F",0.202,71,6.7367,39,4.2683,31,3.407,4.6,4.2,4.9,1.264,0.118,7.8,5,5.8,4,4.3,3.8,2.1,1.4,"10/2/2019",154.9,"10/7/2019",48.8,0.685,0.315,"10/19/2019",4,0.3075,923.5644,25.9787,8.184380633,0,0,0,0,0,0,0,0,0,3489.881637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0461785468980851,40.0591554,-2.63299298656741
"7","CC-17-2019","6/2/2019","7/20/2019",61.40097,-144.51765,"CC",1.708,43.7,44.8,5,5.6,11.8,12.9,NA,28,"M",0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.558,0.58,3.4,4.1,3,3,1.7,2.2,0.9,1.2,"10/2/2019",196.6,"10/7/2019",58,0.705,0.295,"10/19/2019",4,0.314,923.4282,23.8702,7.042073245,0,0,0,131086.4325,0,0,0,0,0,2617.135157,0,0,0,1993628.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.0051943603727518,40.7703016,-3.2049397583283
"8","CC-20-2019","6/2/2019","7/21/2019",61.40097,-144.51765,"CC",2.55,49.7,50.2,6.8,7,13.2,14.7,NA,32.4,"M",0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.404,0.026,8.9,7.9,9.4,8.2,6.2,5.6,2.6,2.3,"10/2/2019",136,"10/7/2019",46.8,0.6559,0.3441,"10/19/2019",2,0.3843,924.0889,26.8471,9.238560882,0,0,0,0,0,0,0,0,0,12425.49382,330.5180974,0,0,1345105.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.0326859894560993,68.460105,-1.47873530403798
"9","GH-1-2019","7/27/2019","8/8/2019",63.06732669,-145.5138318,"GH",1.984,43.7,46,6.7,8.2,11.8,12.1,6.5,28.8,"M",0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.022,0.7,1,0.9,0.7,0.7,1,0.7,0.9,"11/3/2019",105.7,"11/10/2019",26.3,0.7512,0.2488,"11/26/2019",2,0.2375,923.1981,21.393,5.322950804,0,0,0,308024.108,0,0,0,0,0,8370.844509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.270805639627248,42.443712,-0.919485129011569
"10","GH-2-2019","7/27/2019","8/8/2019",63.06732669,-145.5138318,"GH",1.414,39.6,41,5.7,6.1,10.7,11.1,5.8,26.9,"M",0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0.019,0.7,1,0.7,0.7,0.8,1,0.7,0.7,"11/3/2019",120.9,"11/10/2019",33.4,0.7237,0.2763,"11/26/2019",4,0.2183,923.3249,22.7845,6.294477254,0,0,0,97789.84521,0,0,0,0,0,20765.79581,0,0,0,393.4007308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513.222061,0,0,0,0,0,0,4,0.294958252834202,32.217283,-1.24747604223982
