"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"61","KL-1-2021","KL-1-2021","KL-1-21","KL-L-1","7/5/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",1.942,45,NA,4.3,NA,11.3,NA,6.8,28.5,"M","0.064","2-B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,"1-F4","N","Y",5,"Y","Y",0.03,0.8,0.7,0.7,1,1,0.9,1.1,1.3,"","10/6/2021",91.8,"10/11/2021",23.3,"0.7462","0.2538",NA,"10/12/2021",4,0.4248,923.3249,23.1143,"5.866701416",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","KL-2-2021","KL-2-2021","KL-2-21","KL-L-2","7/5/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.276,49,NA,7,NA,12.8,NA,7.1,30.6,"M","0.044","2-A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,"1-E3","N","Y",5,"Y","Y",0.024,0.5,0.5,0.6,0.5,0.4,0.6,1,1.1,"","10/6/2021",118.6,"10/11/2021",25.6,"0.7841","0.2159",NA,"10/12/2021",2,0.3845,955.4635,21.2564,"4.588227993",4,0.3751,923.3249,19.5435,"4.218495784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","KL-3-2021","KL-3-2021","KL-3-21","KL-L-3","7/11/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.824,45.3,NA,4.2,NA,11.6,NA,6.8,27.9,"F","0.244","2-E6",5,0.2287,NA,NA,NA,NA,4.8,NA,NA,1.512,"1-H2","N","Y",5,"Y","Y",0.102,1.5,1.2,1.2,1.1,1.3,1.3,1.2,1.2,"","10/6/2021",128.9,"10/11/2021",33.6,"0.7393","0.2607",NA,"10/12/2021",2,0.3117,955.4635,25.2245,"6.575199379",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","KL-4-2021","KL-4-2021","KL-4-21","KL-L-4","7/11/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.848,45.8,NA,4.9,NA,11,NA,6.6,28,"F","0.208","2-E2",5,0.2744,NA,NA,NA,NA,4.6,NA,NA,1.588,"1-G10","N","Y",5,"Y","Y",0.1,1.2,1.1,1.3,1.2,1.3,1.2,1.1,0.8,"","10/6/2021",123.4,"10/11/2021",32.6,"0.7358","0.2642",NA,"10/12/2021",4,0.3177,923.3249,23.6022,"6.235265154",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","KL-5-2021","KL-5-2021","KL-5-21","KL-L-5","7/13/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.128,45.7,NA,5,NA,12.3,NA,7.3,29.7,"M","0.058","2-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.004,"1-F3","N","Y",5,"Y","Y",0.028,0.9,0.8,0.7,0.9,0.5,1,0.6,1.4,"","10/6/2021",97.4,"10/11/2021",26.2,"0.7310","0.2690",NA,"10/12/2021",2,0.2668,955.4635,23.8007,"6.402241684",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","KL-6-2021","KL-6-2021","KL-6-21","KL-L-6","7/13/2021 (KL)","7/24/2021",61.95150431,-145.3324535,"KL",1.582,44,NA,4.3,NA,10.5,NA,6.5,26.8,"F","0.168","2-E5",5,0.2523,NA,NA,NA,NA,4.95,NA,NA,1.352,"1-H1","N","Y",5,"Y","Y",0.086,1.8,1.7,1.2,1.3,1.7,1.2,0.6,1.1,"","10/6/2021",87.8,"10/11/2021",23.2,"0.7358","0.2642",NA,"10/12/2021",4,0.2005,923.3249,23.7654,"6.279695672",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","KL-7-2021","KL-7-2021","KL-7-21","KL-L-7","7/13/2021 (KL)","7/23/2021",61.95150431,-145.3324535,"KL",2.322,48.2,NA,5,NA,12.2,NA,7.2,30.5,"M","0.056","2-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.166,"1-F5","N","Y",5,"Y","Y",0.028,1.5,1.5,1.4,0.8,1,0.8,1.4,0.8,"","10/6/2021",90.4,"10/11/2021",26.5,"0.7069","0.2931",NA,"10/12/2021",2,0.2595,955.4635,24.6985,"7.240157633",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","UKL-1-2021","UKL-1-2021","UKL-1-21","UKL-1","8/10/2021 (Upper Klutina)","9/3/2021",61.751416,-145.716282,"UKL",2.1,45.8,NA,7.6,NA,13.9,NA,7.5,31.8,"M","0.1","3-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.862,"2-B11","N","Y",5,"Y","Y",0.05,0.7,0.9,1.1,1,1.2,0.5,1.1,0.4,"","10/6/2021",128.8,"10/11/2021",33.4,"0.7407","0.2593",NA,"10/12/2021",4,0.3324,923.3249,23.7464,"6.157839752",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","MA-1-2021","MA-1-2021","MA-1-21","MA-1","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",2.022,43.6,NA,5.3,NA,13.6,NA,6.5,31.8,"F","0.378","2-F7",6,0.7286,NA,NA,NA,NA,6.2,NA,NA,1.582,"1-H11","N","Y",5,"Y","Y",0.176,1.1,1,1.3,0.9,0.8,0.8,0.9,1,"","10/6/2021",130.8,"10/11/2021",32.2,"0.7538","0.2462",NA,"10/12/2021",2,0.2932,955.4635,25.1648,"6.195004281",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","MA-2-2021","MA-2-2021","MA-2-21","MA-2","7/18/2021 (MA)","7/24/2021",61.73588,-145.72941806,"MA",1.928,43.3,NA,5,NA,12.5,NA,6.3,30.5,"F","0.374","2-F3",7,0.654,NA,NA,NA,NA,5.6,NA,NA,1.498,"1-H7","N","Y",5,"Y","Y",0.17,0.8,1,0.8,0.8,0.7,0.6,1,0.8,"","10/6/2021",141.9,"10/11/2021",36.2,"0.7449","0.2551",NA,"10/12/2021",4,0.2923,923.3249,24.3645,"6.215608879",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
