"","unique_id","site","fluidigm_num","c_b_cys","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","pa_kab","pa_min","pa_pse","sp_des","te_bry"
"1","2019-0046-118-CC1","CC","CC1",0,0,0,3.57175993406363,0,0,0,2.31074514968808,0,0,0,0,0
"2","2019-0046-118-CC10","CC","CC10",7.20685191546735,0,0,6.69222372439605,0,0,0,14.0262919881559,0,0,0,0,0
"3","2019-0046-118-CC12","CC","CC12",0,0,0,9.71703144947323,0,0,0,11.1006123296558,0,0,0,0,0
"4","2019-0046-118-CC14","CC","CC14",0,0,0,8.15790960134548,0,0,0,0,0,0,0,0,0
"5","2019-0046-118-CC17","CC","CC17",11.7836198032193,0,0,7.87021757118769,0,0,0,14.5054673371016,0,0,0,0,0
"6","2019-0046-118-CC20","CC","CC20",0,0,0,9.42758607069992,5.80368240059433,0,0,14.1119838630417,0,0,0,0,0
"7","2019-0046-118-CC4","CC","CC4",0,0,0,7.96141014617974,0,0,0,0,8.46161869078205,0,0,0,0
"8","2019-0046-118-CC8","CC","CC8",10.1432531545494,0,0,6.66283438738883,0,0,0,0,0,0,0,0,0
"17","2019-0046-118-GK1","GH","GK1",12.6379365781137,0,0,9.03262951065094,0,0,0,0,0,0,0,0,0
"18","2019-0046-118-GK10","GH","GK10",13.1949566364305,0,0,7.25137792325522,0,0,0,0,0,0,0,0,11.2765404086057
"19","2019-0046-118-GK11","GH","GK11",13.8937686732766,2.8797134067113,0,11.1442052618647,0,4.53581004628071,2.83398923062543,14.2942013995013,0,0,0,0,0
"20","2019-0046-118-GK12","GH","GK12",14.4515182605638,0,0,13.6800408101139,0,3.96794377278845,6.64266555709745,0,0,1.97077662778445,0,0,0
"21","2019-0046-118-GK14","GH","GK14",14.6125659315219,0,0,14.346899014115,0,4.95050631059752,6.19745810051576,10.8377471044465,0,0,12.0405633640893,0,7.83563670725711
"22","2019-0046-118-GK15","GH","GK15",15.4666975219165,0,0,12.0681179054558,0,0,9.78395428342687,15.7261315675719,0,0,5.83995082141746,0,0
"23","2019-0046-118-GK16","GH","GK16",14.250467987787,0,0,15.305324794202,0,0,17.3002481006888,0,0,0,0,0,6.13325421812072
"24","2019-0046-118-GK17","GH","GK17",15.2629497935457,0,0,12.6482699595628,0,0,16.7223368210254,10.2736629942589,0,0,7.57788692544409,0,8.27371780378445
"25","2019-0046-118-GK18","GH","GK18",14.1677832192606,0,0,8.94558508234491,0,0,5.39721510880215,10.0048594949507,0,0,0,0,0
"26","2019-0046-118-GK19","GH","GK19",14.6713458132911,0,0,8.27863869921855,0,0,2.78913110935128,5.72548395974498,0,0,0,0,0
